Artist,Genre,Title,Group,Score
Loscil,Global,Plume,5,5.6
Susumu Yokota,Global,Wonder Waltz,5,5.5
Hauschka,Global,Foreign Landscapes,5,5.5
Elf Power,Experimental,Creatures,5,5.5
Girls Against Boys,Experimental,You Can'T Fight What You Can'T See,5,5.5
New Flesh,Experimental,Understanding,5,5.5
The Wedding Present,Experimental,Singles 1989-1991,5,5.5
Xiu Xiu,Experimental,Australia / New Zealand Tour Ep,5,5.5
Asobi Seksu,Experimental,Hush,5,5.5
Tapes 'N Tapes,Experimental,Outside,5,5.5
Young Prisms,Experimental,Friends For Now,5,5.5
Trailer Trash Tracys,Experimental,Ester,5,5.5
Elf Power,Experimental,Sunlight On The Moon,5,5.5
Merzbow,Experimental,Full Of Hell & Merzbow,5,5.5
Full Of Hell,Experimental,Full Of Hell & Merzbow,5,5.5
Tortoise,Experimental,The Brave And The Bold,5,5.4
Bonnie Prince Billy,Experimental,The Brave And The Bold,5,5.4
Brian Eno,Experimental,Drawn From Life,5,5.4
Dj J. Peter Schwalm,Experimental,Drawn From Life,5,5.4
Kevin Drumm,Experimental,Gauntlet,5,5.4
Cloud Cult,Experimental,Light Chasers,5,5.4
Marnie Stern,Experimental,Demo,5,5.4
The Sea And Cake,Experimental,Glass Ep,5,5.3
Don Caballero,Experimental,World-Class Listening Problem,5,5.3
The Red Crayola,Experimental,Soldier-Talk,5,5.3
Seapony,Experimental,Go With Me,5,5.3
Ane Brun,Folk/Country,Changing Of The Seasons,5,5.2
Larkin Grimm,Folk/Country,Parplar,5,5.2
Bill Ryder-Jones,Folk/Country,A Bad Wind Blows In My Heart,5,5.2
Ben Bridwell,Folk/Country,Sing Into My Mouth,5,5.2
Iron & Wine,Folk/Country,Sing Into My Mouth,5,5.2
Arthur Brown,Experimental,Fire: The Arthur Brown Story,5,5.2
Die Monitr Batss,Experimental,Girls Of War,5,5.2
The Hospitals,Experimental,I'Ve Visited The Island Of Jocks And Jazz,5,5.2
Quasi,Experimental,Hot Shit,5,5.2
Quasi,Experimental,Early Recordings,5,5.2
Tortoise,Experimental,It'S All Around You,5,5.2
Ween,Experimental,The Friends Ep,5,5.2
Indian Jewelry,Experimental,"""Free Gold!""",5,5.2
David Grubbs,Experimental,An Optimist Notes The Dusk,5,5.2
Psychedelic Horseshit,Experimental,Golden Oldies,5,5.2
Lee Ranaldo,Experimental,Between The Times And The Tides,5,5.2
Amandine,Folk/Country,Solace In Sore Hands,5,5.1
Eric Matthews,Folk/Country,The Imagination Stage,5,5.1
Cocorosie,Folk/Country,Grey Oceans,5,5.1
The Wave Pictures,Folk/Country,Beer In The Breakers,5,5.1
Sunset Rubdown,Experimental,Snake'S Got A Leg,5,5.1
Tribes Of Neurot,Experimental,Adaptation And Survival: The Insect Project,5,5.1
The Flowers Of Hell,Experimental,The Flowers Of Hell,5,5.1
Daniel Menche,Experimental,Animality,5,5.1
Rogue Wave,Experimental,Permalight,5,5.1
Current 93,Experimental,I Am The Last Of All The Field That Fell: A Channel,5,5.1
Masami Akita & Eiko Ishibashi,Experimental,Kouen Kyoudai,5,5.1
Bonnie Prince Billy,Folk/Country,Greatest Palace Music,5,5
The Bundles,Folk/Country,The Bundles,5,5
Ariel Pink'S Haunted Graffiti,Experimental,The Doldrums,5,5
Stereolab,Experimental,Instant 0 In The Universe Ep,5,5
Oberhofer,Experimental,Time Capsules Ii,5,5
Suuns,Experimental,Images Du Futur,5,5
Willis Earl Beal,Experimental,Experiments In Time,5,5
Matisyahu,Global,Youth,4,4.9
Conor Oberst And The Mystic Valley Band,Folk/Country,Outer South,4,4.9
Graham Wright,Folk/Country,Shirts Vs. Skins,4,4.9
The Fantmas Melvins Big Band,Experimental,Millennium Monsterwork,4,4.9
High Priest,Experimental,Born Identity,4,4.9
Six Organs Of Admittance,Experimental,Shelter From The Ash,4,4.9
Nurse With Wound,Experimental,Salt Marie Celeste,4,4.9
Nurse With Wound,Experimental,Huffin' Rag Blues,4,4.9
Laibach,Experimental,Spectre,4,4.9
King Kong,Global,Buncha Beans,4,4.8
Lullaby For The Working Class,Folk/Country,Song,4,4.8
Ilya Monosov,Folk/Country,"Seven Lucky Plays, Or How To Fix Songs For A Broken Heart",4,4.8
Comet Gain,Experimental,Tigertown Pictures,4,4.8
Tom Carter,Experimental,Monument,4,4.8
Jarboe,Experimental,The Men Album,4,4.8
Ooioo,Experimental,Taiga,4,4.8
Laibach,Experimental,Volk,4,4.8
Lisa Gerrard,Experimental,The Best Of Lisa Gerrard,4,4.8
Roommate,Experimental,We Were Enchanted,4,4.8
Don Caballero,Experimental,Punkgasm,4,4.8
The Skygreen Leopards,Experimental,Gorgeous Johnny,4,4.8
Nils Frahm,Experimental,The Bells,4,4.8
Lucky Dragons,Experimental,Existers,4,4.8
Kaki King,Folk/Country,...Until We Felt Red,4,4.7
Maria Taylor,Folk/Country,Lynn Teeter Flower,4,4.7
Tom Brosseau,Folk/Country,Cavalier,4,4.7
Our Brother The Native,Folk/Country,Sacred Psalms,4,4.7
Our Brother The Native,Experimental,Sacred Psalms,4,4.7
Xiu Xiu,Experimental,Nina,4,4.7
Lee Scratch Perry,Global,"Scratch Came, Scratch Saw, Scratch Conquered",4,4.6
The Watson Twins,Folk/Country,Fire Songs,4,4.6
